node_id,name,type,attrs_json
96,Barbell Incline Bench Press - Medium Grip,Exercise,"{""source_id"": ""Barbell_Incline_Bench_Press_-_Medium_Grip"", ""force"": ""push"", ""mechanic"": ""compound"", ""level"": ""beginner"", ""curated"": false}"
97,Barbell Incline Shoulder Raise,Exercise,"{""source_id"": ""Barbell_Incline_Shoulder_Raise"", ""force"": ""push"", ""mechanic"": ""compound"", ""level"": ""beginner"", ""curated"": false}"
98,Barbell Lunge,Exercise,"{""source_id"": ""Barbell_Lunge"", ""force"": ""push"", ""mechanic"": ""compound"", ""level"": ""intermediate"", ""curated"": false}"
99,Barbell Rear Delt Row,Exercise,"{""source_id"": ""Barbell_Rear_Delt_Row"", ""force"": ""pull"", ""mechanic"": ""compound"", ""level"": ""beginner"", ""curated"": false}"
100,Barbell Rollout from Bench,Exercise,"{""source_id"": ""Barbell_Rollout_from_Bench"", ""force"": ""pull"", ""mechanic"": ""compound"", ""level"": ""intermediate"", ""curated"": false}"
101,Barbell Seated Calf Raise,Exercise,"{""source_id"": ""Barbell_Seated_Calf_Raise"", ""force"": ""push"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
102,Barbell Shoulder Press,Exercise,"{""source_id"": ""Barbell_Shoulder_Press"", ""force"": ""push"", ""mechanic"": ""compound"", ""level"": ""intermediate"", ""curated"": false}"
103,Barbell Shrug,Exercise,"{""source_id"": ""Barbell_Shrug"", ""force"": ""pull"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
104,Barbell Shrug Behind The Back,Exercise,"{""source_id"": ""Barbell_Shrug_Behind_The_Back"", ""force"": ""pull"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
105,Barbell Side Bend,Exercise,"{""source_id"": ""Barbell_Side_Bend"", ""force"": ""pull"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
106,Barbell Side Split Squat,Exercise,"{""source_id"": ""Barbell_Side_Split_Squat"", ""force"": ""push"", ""mechanic"": ""compound"", ""level"": ""beginner"", ""curated"": false}"
107,Barbell Squat,Exercise,"{""source_id"": ""Barbell_Squat"", ""force"": ""push"", ""mechanic"": ""compound"", ""level"": ""beginner"", ""curated"": false}"
108,Barbell Squat To A Bench,Exercise,"{""source_id"": ""Barbell_Squat_To_A_Bench"", ""force"": ""push"", ""mechanic"": ""compound"", ""level"": ""expert"", ""curated"": false}"
109,Barbell Step Ups,Exercise,"{""source_id"": ""Barbell_Step_Ups"", ""force"": ""push"", ""mechanic"": ""compound"", ""level"": ""intermediate"", ""curated"": false}"
110,Barbell Walking Lunge,Exercise,"{""source_id"": ""Barbell_Walking_Lunge"", ""force"": ""push"", ""mechanic"": ""compound"", ""level"": ""beginner"", ""curated"": false}"
111,Battling Ropes,Exercise,"{""source_id"": ""Battling_Ropes"", ""force"": ""push"", ""mechanic"": ""compound"", ""level"": ""beginner"", ""curated"": false}"
112,Bear Crawl Sled Drags,Exercise,"{""source_id"": ""Bear_Crawl_Sled_Drags"", ""force"": ""push"", ""mechanic"": ""compound"", ""level"": ""beginner"", ""curated"": false}"
113,Behind Head Chest Stretch,Exercise,"{""source_id"": ""Behind_Head_Chest_Stretch"", ""force"": ""static"", ""mechanic"": ""isolation"", ""level"": ""expert"", ""curated"": false}"
114,Bench Dips,Exercise,"{""source_id"": ""Bench_Dips"", ""force"": ""push"", ""mechanic"": ""compound"", ""level"": ""beginner"", ""curated"": false}"
115,Bench Jump,Exercise,"{""source_id"": ""Bench_Jump"", ""force"": ""push"", ""mechanic"": ""compound"", ""level"": ""intermediate"", ""curated"": false}"
116,Bench Press - Powerlifting,Exercise,"{""source_id"": ""Bench_Press_-_Powerlifting"", ""force"": ""push"", ""mechanic"": ""compound"", ""level"": ""intermediate"", ""curated"": false}"
117,Bench Press - With Bands,Exercise,"{""source_id"": ""Bench_Press_-_With_Bands"", ""force"": ""push"", ""mechanic"": ""compound"", ""level"": ""beginner"", ""curated"": false}"
118,Bench Press with Chains,Exercise,"{""source_id"": ""Bench_Press_with_Chains"", ""force"": ""push"", ""mechanic"": ""compound"", ""level"": ""expert"", ""curated"": false}"
119,Bench Sprint,Exercise,"{""source_id"": ""Bench_Sprint"", ""force"": ""push"", ""mechanic"": ""compound"", ""level"": ""beginner"", ""curated"": false}"
120,Bent-Arm Barbell Pullover,Exercise,"{""source_id"": ""Bent-Arm_Barbell_Pullover"", ""force"": ""pull"", ""mechanic"": ""compound"", ""level"": ""intermediate"", ""curated"": false}"
121,Bent-Arm Dumbbell Pullover,Exercise,"{""source_id"": ""Bent-Arm_Dumbbell_Pullover"", ""force"": ""push"", ""mechanic"": ""compound"", ""level"": ""intermediate"", ""curated"": false}"
122,Bent-Knee Hip Raise,Exercise,"{""source_id"": ""Bent-Knee_Hip_Raise"", ""force"": ""pull"", ""mechanic"": ""compound"", ""level"": ""beginner"", ""curated"": false}"
123,Bent Over Barbell Row,Exercise,"{""source_id"": ""Bent_Over_Barbell_Row"", ""force"": ""pull"", ""mechanic"": ""compound"", ""level"": ""beginner"", ""curated"": false}"
124,Bent Over Dumbbell Rear Delt Raise With Head On Bench,Exercise,"{""source_id"": ""Bent_Over_Dumbbell_Rear_Delt_Raise_With_Head_On_Bench"", ""force"": ""pull"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
125,Bent Over Low-Pulley Side Lateral,Exercise,"{""source_id"": ""Bent_Over_Low-Pulley_Side_Lateral"", ""force"": ""pull"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
126,Bent Over One-Arm Long Bar Row,Exercise,"{""source_id"": ""Bent_Over_One-Arm_Long_Bar_Row"", ""force"": ""pull"", ""mechanic"": ""compound"", ""level"": ""beginner"", ""curated"": false}"
127,Bent Over Two-Arm Long Bar Row,Exercise,"{""source_id"": ""Bent_Over_Two-Arm_Long_Bar_Row"", ""force"": ""pull"", ""mechanic"": ""compound"", ""level"": ""intermediate"", ""curated"": false}"
128,Bent Over Two-Dumbbell Row,Exercise,"{""source_id"": ""Bent_Over_Two-Dumbbell_Row"", ""force"": ""pull"", ""mechanic"": ""compound"", ""level"": ""beginner"", ""curated"": false}"
129,Bent Over Two-Dumbbell Row With Palms In,Exercise,"{""source_id"": ""Bent_Over_Two-Dumbbell_Row_With_Palms_In"", ""force"": ""pull"", ""mechanic"": ""compound"", ""level"": ""beginner"", ""curated"": false}"
130,Bent Press,Exercise,"{""source_id"": ""Bent_Press"", ""force"": ""pull"", ""mechanic"": ""compound"", ""level"": ""expert"", ""curated"": false}"
131,Bicycling,Exercise,"{""source_id"": ""Bicycling"", ""force"": null, ""mechanic"": null, ""level"": ""beginner"", ""curated"": false}"
132,Cardio,ExerciseType,{}
133,Endurance,ExerciseGoal,{}
134,Fat Loss,ExerciseGoal,{}
135,"Bicycling, Stationary",Exercise,"{""source_id"": ""Bicycling_Stationary"", ""force"": null, ""mechanic"": null, ""level"": ""beginner"", ""curated"": false}"
136,Board Press,Exercise,"{""source_id"": ""Board_Press"", ""force"": ""push"", ""mechanic"": ""compound"", ""level"": ""intermediate"", ""curated"": false}"
137,Body-Up,Exercise,"{""source_id"": ""Body-Up"", ""force"": ""push"", ""mechanic"": ""isolation"", ""level"": ""intermediate"", ""curated"": false}"
138,Body Tricep Press,Exercise,"{""source_id"": ""Body_Tricep_Press"", ""force"": ""push"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
139,Bodyweight Flyes,Exercise,"{""source_id"": ""Bodyweight_Flyes"", ""force"": ""push"", ""mechanic"": ""isolation"", ""level"": ""intermediate"", ""curated"": false}"
140,E-Z Curl Bar,Equipment,{}
141,Bodyweight Mid Row,Exercise,"{""source_id"": ""Bodyweight_Mid_Row"", ""force"": ""pull"", ""mechanic"": ""compound"", ""level"": ""intermediate"", ""curated"": false}"
142,Bodyweight Squat,Exercise,"{""source_id"": ""Bodyweight_Squat"", ""force"": ""push"", ""mechanic"": ""compound"", ""level"": ""beginner"", ""curated"": false}"
143,Bodyweight Walking Lunge,Exercise,"{""source_id"": ""Bodyweight_Walking_Lunge"", ""force"": ""push"", ""mechanic"": ""compound"", ""level"": ""beginner"", ""curated"": false}"
144,Bosu Ball Cable Crunch With Side Bends,Exercise,"{""source_id"": ""Bosu_Ball_Cable_Crunch_With_Side_Bends"", ""force"": ""pull"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
145,Bottoms-Up Clean From The Hang Position,Exercise,"{""source_id"": ""Bottoms-Up_Clean_From_The_Hang_Position"", ""force"": ""pull"", ""mechanic"": ""compound"", ""level"": ""intermediate"", ""curated"": false}"
146,Bottoms Up,Exercise,"{""source_id"": ""Bottoms_Up"", ""force"": ""pull"", ""mechanic"": ""compound"", ""level"": ""beginner"", ""curated"": false}"
147,Box Jump (Multiple Response),Exercise,"{""source_id"": ""Box_Jump_Multiple_Response"", ""force"": ""push"", ""mechanic"": ""compound"", ""level"": ""beginner"", ""curated"": false}"
148,Box Skip,Exercise,"{""source_id"": ""Box_Skip"", ""force"": ""push"", ""mechanic"": ""compound"", ""level"": ""beginner"", ""curated"": false}"
149,Box Squat,Exercise,"{""source_id"": ""Box_Squat"", ""force"": ""push"", ""mechanic"": ""compound"", ""level"": ""intermediate"", ""curated"": false}"
150,Box Squat with Bands,Exercise,"{""source_id"": ""Box_Squat_with_Bands"", ""force"": ""push"", ""mechanic"": ""compound"", ""level"": ""expert"", ""curated"": false}"
151,Box Squat with Chains,Exercise,"{""source_id"": ""Box_Squat_with_Chains"", ""force"": ""push"", ""mechanic"": ""compound"", ""level"": ""expert"", ""curated"": false}"
152,Brachialis-SMR,Exercise,"{""source_id"": ""Brachialis-SMR"", ""force"": ""static"", ""mechanic"": null, ""level"": ""intermediate"", ""curated"": false}"
153,Bradford/Rocky Presses,Exercise,"{""source_id"": ""Bradford_Rocky_Presses"", ""force"": ""push"", ""mechanic"": ""compound"", ""level"": ""beginner"", ""curated"": false}"
154,Butt-Ups,Exercise,"{""source_id"": ""Butt-Ups"", ""force"": ""pull"", ""mechanic"": ""compound"", ""level"": ""beginner"", ""curated"": false}"
155,Butt Lift (Bridge),Exercise,"{""source_id"": ""Butt_Lift_Bridge"", ""force"": ""push"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
156,Butterfly,Exercise,"{""source_id"": ""Butterfly"", ""force"": ""pull"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
157,Cable Chest Press,Exercise,"{""source_id"": ""Cable_Chest_Press"", ""force"": ""push"", ""mechanic"": ""compound"", ""level"": ""beginner"", ""curated"": false}"
158,Cable Crossover,Exercise,"{""source_id"": ""Cable_Crossover"", ""force"": ""push"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
159,Cable Crunch,Exercise,"{""source_id"": ""Cable_Crunch"", ""force"": ""pull"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
160,Cable Deadlifts,Exercise,"{""source_id"": ""Cable_Deadlifts"", ""force"": ""pull"", ""mechanic"": ""compound"", ""level"": ""beginner"", ""curated"": false}"
161,Cable Hammer Curls - Rope Attachment,Exercise,"{""source_id"": ""Cable_Hammer_Curls_-_Rope_Attachment"", ""force"": ""pull"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
162,Cable Hip Adduction,Exercise,"{""source_id"": ""Cable_Hip_Adduction"", ""force"": ""pull"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
163,Cable Incline Pushdown,Exercise,"{""source_id"": ""Cable_Incline_Pushdown"", ""force"": ""pull"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
164,Cable Incline Triceps Extension,Exercise,"{""source_id"": ""Cable_Incline_Triceps_Extension"", ""force"": ""push"", ""mechanic"": ""isolation"", ""level"": ""beginner"", ""curated"": false}"
